ID,Species,Owner,Country.of.Origin,Farm.Name,Company,Altitude,Region,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points
1,Arabica,metad plc,Ethiopia,metad plc,metad agricultural developmet plc,1950-2200,guji-hambela,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58
2,Arabica,metad plc,Ethiopia,metad plc,metad agricultural developmet plc,1950-2200,guji-hambela,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92
3,Arabica,grounds for health admin,Guatemala,"san marcos barrancas ""san cristobal cuch",,1600 - 1800 m,,,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75
4,Arabica,yidnekachew dabessa,Ethiopia,yidnekachew dabessa coffee plantation,yidnekachew debessa coffee plantation,1800-2200,oromia,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89
5,Arabica,metad plc,Ethiopia,metad plc,metad agricultural developmet plc,1950-2200,guji-hambela,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83
6,Arabica,ji-ae ahn,Brazil,,,,,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83
7,Arabica,hugo valdivia,Peru,,richmond investment-coffee department,,,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75
8,Arabica,ethiopia commodity exchange,Ethiopia,aolme,,1570-1700,oromia,,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67
9,Arabica,ethiopia commodity exchange,Ethiopia,aolme,,1570-1700,oromiya,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42
10,Arabica,diamond enterprise plc,Ethiopia,tulla coffee farm,diamond enterprise plc,1795-1850,"snnp/kaffa zone,gimbowereda",Natural / Dry,08.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25
11,Arabica,mohammed lalo,Ethiopia,fahem coffee plantation,fahem coffee plantation,1855-1955,oromia,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08
12,Arabica,cqi q coffee sample representative,United States,el filo,coffee quality institute,meters above sea level: 1.872,antioquia,Washed / Wet,8.25,8.42,8.17,8.33,08.08,8.17,10,10,10,8.5,87.92
13,Arabica,cqi q coffee sample representative,United States,los cedros,coffee quality institute,meters above sea level: 1.943,antioquia,Washed / Wet,08.08,8.67,8.33,8.42,8,08.08,10,10,10,8.33,87.92
14,Arabica,grounds for health admin,United States (Hawaii),arianna farms,,2000 ft,kona,,8.33,8.42,08.08,8.25,8.25,8,10,10,10,8.58,87.92
15,Arabica,ethiopia commodity exchange,Ethiopia,aolme,,1570-1700,oromiya,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83
16,Arabica,cqi q coffee sample representative,United States,el águila,coffee quality institute,meters above sea level: 2.080,antioquia,Washed / Wet,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58
17,Arabica,grounds for health admin,Indonesia,toarco jaya,,1200-1800m,sulawesi,,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,87.42
18,Arabica,ethiopia commodity exchange,Ethiopia,,,,yirgacheffe,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33
19,Arabica,yunnan coffee exchange,China,echo coffee,yunnan coffee exchange,1450,yunnan,Washed / Wet,8.42,8.25,08.08,8.17,7.92,8,10,10,10,8.42,87.25
20,Arabica,essencecoffee,Ethiopia,drima zede,essence coffee,1700-2000m,gedio,Natural / Dry,8.17,8.17,8,8.17,08.08,8.33,10,10,10,8.33,87.25
21,Arabica,cqi q coffee sample representative,United States,el rodeo,coffee quality institute,meters above sea level: 2.019,antioquia,Washed / Wet,8,8.25,08.08,8.5,8.25,8,10,10,10,8.17,87.25
22,Arabica,the coffee source inc.,Costa Rica,several,the coffee source inc.,1300 msnm,san ramon,Washed / Wet,08.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17
23,Arabica,roberto licona franco,Mexico,la herradura,,1320,xalapa,Washed / Wet,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17
24,Arabica,cqi q coffee sample representative,United States,la curva,coffee quality institute,meters above sea level: 2.112,antioquia,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08
25,Arabica,ji-ae ahn,Ethiopia,,,,sidamo,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8,10,10,10,08.08,87.08
26,Arabica,nucoffee,Brazil,fazenda kaquend,nucoffee,1250m,south of minas,Natural / Dry,8.5,8.5,8,8,8,8,10,10,10,7.92,86.92
27,Arabica,ethiopia commodity exchange,Ethiopia,,,,sidamo,,7.83,8.25,08.08,8.17,8.17,8.17,10,10,10,8.25,86.92
28,Arabica,kabum trading company,Uganda,chebonet (23) women coffee,kabum trading company,1950,kapchorwa eastern,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83
29,Arabica,bismarck castro,Honduras,los hicaques,cigrah s.a de c.v,1400,comayagua,,8.17,08.08,08.08,8,08.08,8,10,10,10,8.25,86.67
30,Arabica,"lin, che-hao krude 林哲豪",Taiwan,tsoustructive garden 鄒築園,taiwan coffee laboratory,1200,"leye, alishan township, chiayi county",Pulped natural / honey,8,8,8,8.25,8,8.17,10,10,10,8.17,86.58
31,Arabica,nora zeas,Nicaragua,,,,,,7.92,8.25,8,8.33,8,08.08,10,10,10,8,86.58
32,Arabica,specialty coffee-korea,"Tanzania, United Republic Of",,,,,Natural / Dry,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5
33,Arabica,nucoffee,Brazil,fazenda recreio,nucoffee,1300,vale da grama,Natural / Dry,8.5,8.17,8,7.75,8,8,10,10,10,8,86.42
34,Arabica,francisco a mena,Costa Rica,exclusive coffees s.a.,exclusive coffees s.a.,1300,west and central valley,Washed / Wet,8.17,7.83,8,08.08,7.83,8,10,10,10,8.42,86.33
35,Arabica,hider abamecha,Ethiopia,haider abamecha coffee plantation,haider abamecha coffee export,1750-1800,oromia,Natural / Dry,8,08.08,7.92,8,08.08,08.08,10,10,10,08.08,86.25
36,Arabica,daniel magu,Kenya,kangunu,c dorman ltd,1800,muranga,Washed / Wet,08.08,8,8,8.25,7.92,7.92,10,10,10,08.08,86.25
37,Arabica,kona pacific farmers cooperative,United States (Hawaii),,kona pacific farmers cooperative,,kona,Natural / Dry,08.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25
38,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,,kona,,8.25,8.42,08.08,7.75,7.67,7.83,10,10,10,8.25,86.25
39,Arabica,ethiopia commodity exchange,Ethiopia,"phone number | 0911-51-08-01, email | at",,,yirgacheffe,,7.92,7.75,08.08,08.08,08.08,8.17,10,10,10,8.17,86.25
